TransactionAmt,Timestamp,MerchantCat,TransType,KeyHoldTime,SwipeSpeed,PressureVar,UserID,LinkedUserID,LinkType,isFraud
46.92680899768591,2025-01-01 00:00:00,Travel,Transfer,0.20893479923596314,1.4570437319921836,0.41808274597207123,0,2422,Friend,0
301.0121430917521,2025-01-01 01:00:00,Groceries,ATM,0.05578349905235774,1.5021938337427094,0.4531069580538539,1,1806,Family,0
131.67456935454493,2025-01-01 02:00:00,Food,ATM,0.1381628076174038,1.7335199613541306,0.458977315650871,2,167,Friend,1
91.29425537759532,2025-01-01 03:00:00,Fashion,Online,0.11531516414556495,1.3792677501469708,0.5563725327170399,3,2141,Business,0
16.962487046234628,2025-01-01 04:00:00,Fashion,POS,0.20855652232073613,1.1417547575081397,0.4516007330808583,4,3398,Friend,0
16.959629191460518,2025-01-01 05:00:00,Fashion,Transfer,0.13463747557663094,1.2584393697512266,0.5815768194959072,5,7786,Business,0
5.983876860868068,2025-01-01 06:00:00,Electronics,Transfer,0.23761549848554495,1.256820129143927,0.4230303455303465,6,2155,Friend,0
201.12308644799396,2025-01-01 07:00:00,Electronics,ATM,0.1550781166095702,1.5251318996800187,0.49010098125695817,7,2367,Business,0
91.90821536272645,2025-01-01 08:00:00,Fashion,ATM,0.14860239348757084,0.9311982333676341,0.3827993504583039,8,1423,Friend,0
123.12500617045903,2025-01-01 09:00:00,Travel,Transfer,0.13106761665499825,1.5915635409238131,0.36565967191926624,9,2101,Business,0
2.0799307999138623,2025-01-01 10:00:00,Travel,ATM,0.14076925992471276,1.8798894791020366,0.5327331931251474,10,1302,Colleague,0
350.3557475158312,2025-01-01 11:00:00,Electronics,Online,0.16343723597160043,1.3475864238562882,0.5068530099115973,11,769,Colleague,0
178.6429543354675,2025-01-01 12:00:00,Fashion,Transfer,0.14669607834548454,1.3036103861675254,0.4499827103665597,12,2797,Colleague,0
23.8687625248947,2025-01-01 13:00:00,Travel,ATM,0.1267565015213241,2.0901975364946948,0.4033208607856255,13,4797,Friend,0
20.067898874966335,2025-01-01 14:00:00,Electronics,Online,0.12971870176968975,1.9415936999286487,0.3799103084683691,14,3368,Family,1
